schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,bruteforce_recall,bruteforce_precision,bruteforce_support,dos_recall,dos_precision,dos_support,web_attacks_recall,web_attacks_precision,web_attacks_support,infiltration_recall,infiltration_precision,infiltration_support,botnet_recall,botnet_precision,botnet_support,ddos_recall,ddos_precision,ddos_support
1.0,cse_cic_ids2018_draw2,xgboost,2,0.9845996149903747,6.25,,0.9992769124160163,0.9885842026825633,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.03768844221105527,0.38461538461538464,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,3,0.9846746168654217,12.56,,0.9991865264680184,0.988760025043976,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.052763819095477386,0.4375,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,4,0.9845496137403436,7.1,,0.9992467837666837,0.9885543964232488,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.035175879396984924,0.358974358974359,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,5,0.9845996149903747,7.63,,0.9991262691693531,0.9887298747763864,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.9706666666666667,1622,1.0,1.0,2,0.05025125628140704,0.4166666666666667,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,6,0.9845746143653591,7.26,,0.9992467837666837,0.988583862410206,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.9706666666666667,1622,1.0,1.0,2,0.03768844221105527,0.38461538461538464,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,7,0.9846246156153904,6.35,,0.9993371697146817,0.9885554197836259,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.035175879396984924,0.3888888888888889,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,8,0.9845496137403436,6.4,,0.9992467837666837,0.9885543964232488,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.035175879396984924,0.358974358974359,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,9,0.9845496137403436,6.31,,0.9990961405200205,0.9887000596302922,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04773869346733668,0.3877551020408163,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,10,0.9845996149903747,6.41,,0.9992166551173511,0.9886424610981935,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.04271356783919598,0.3953488372093023,398,1.0,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,xgboost,11,0.9846246156153904,12.02,,0.9993070410653491,0.9885845429346368,33191,0.9544491525423728,0.8444236176194939,944,0.8976572133168927,0.971314209472982,1622,1.0,1.0,2,0.03768844221105527,0.39473684210526316,398,1.0,1.0,709,1.0,1.0,3133
