schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
1.0,nsl_kdd,random_forest,36,0.7439229950319376,1.17,,0.974050046339203,0.6412881355932203,9711,0.7693751676052561,0.9614611260053619,7458,0.5956216439487815,0.8532544378698225,2421,0.04720406681190995,0.9774436090225563,2754,0.01,0.6666666666666666,200
1.0,nsl_kdd,random_forest,37,0.7471167494677076,1.2,,0.9742559983523839,0.6448776497852907,9711,0.77822472512738,0.9618826648989062,7458,0.5956216439487815,0.8487345497351383,2421,0.048656499636891795,0.9781021897810219,2754,0.01,0.6666666666666666,200
1.0,nsl_kdd,random_forest,38,0.7430358410220014,1.17,,0.9739470703326125,0.6410899478072256,9711,0.7593188522392063,0.960970643135924,7458,0.6179264766625362,0.850967007963595,2421,0.04720406681190995,0.9774436090225563,2754,0.02,0.5714285714285714,200
1.0,nsl_kdd,random_forest,39,0.7407292405961675,1.25,,0.9732262382864793,0.638581081081081,9711,0.7601233574684902,0.9608474576271187,7458,0.6212308963238331,0.8530913216108905,2421,0.026506899055918662,0.948051948051948,2754,0.01,0.5,200
1.0,nsl_kdd,xgboost,0,0.7785220014194464,3.96,,0.9716815981876222,0.6806116560877091,9711,0.8431214802896219,0.9642692838521699,7458,0.6464270962412226,0.828042328042328,2421,0.0915032679738562,0.984375,2754,0.05,0.7692307692307693,200
1.0,nsl_kdd,xgboost,1,0.7746628814762243,4.31,,0.9716815981876222,0.6781171397772189,9711,0.8423169750603379,0.9645324735145094,7458,0.6158612143742255,0.8046411225040475,2421,0.08896151053013798,0.98,2754,0.05,0.7692307692307693,200
1.0,nsl_kdd,xgboost,2,0.7749290276792051,3.56,,0.9719905262073937,0.6755654165473804,9711,0.8433896486993833,0.9642802391537636,7458,0.6464270962412226,0.839142091152815,2421,0.060639070442992014,0.9709302325581395,2754,0.045,0.75,200
1.0,nsl_kdd,xgboost,3,0.7774130589070263,3.52,,0.9718875502008032,0.680657723929035,9711,0.8413783856261733,0.9641979102642901,7458,0.6666666666666666,0.8217922606924644,2421,0.06899055918663761,0.979381443298969,2754,0.045,0.75,200
1.0,nsl_kdd,xgboost,4,0.7778122782114976,3.52,,0.9719905262073937,0.681024531024531,9711,0.8412443014212926,0.9641924081758106,7458,0.6575795125981,0.8210417741103662,2421,0.08097312999273784,0.9823788546255506,2754,0.035,0.6363636363636364,200
1.0,nsl_kdd,xgboost,5,0.7756387508871541,3.53,,0.972299454227165,0.6777203560149296,9711,0.8366854384553499,0.9640043256604357,7458,0.6712102437009501,0.8329062019477191,2421,0.06136528685548293,0.9712643678160919,2754,0.05,0.7142857142857143,200
