architecture,metric,n_seeds,mean_ci_half_width,median_ci_half_width,sd_subset_means,p05_subset_mean,p95_subset_mean,frac_ci_excludes_full_mean,prefix_ci_half_width,prefix_mean,full_mean
dnn,dos_recall,40,0.00431211559672988,0.00431211559672988,0.0,0.8315634218289084,0.8315634218289084,0.0,0.00431211559672988,0.8315634218289084,0.8315634218289084
dnn,probe_recall,3,0.0789154486787335,0.07545578185047735,0.019177324894107027,0.619709486438111,0.681261186837395,0.046,0.06223658758475458,0.6352746798843453,0.6501032631144156
dnn,probe_recall,5,0.0420883241531425,0.042532861155259005,0.014245690189720356,0.6265097067327552,0.6728665840561752,0.031,0.03880685283550659,0.6540272614622057,0.6501032631144156
dnn,probe_recall,10,0.024858542413001273,0.024984638000431374,0.009662362303486383,0.634155307724081,0.6652622883106154,0.028,0.027559758540346844,0.6597273853779428,0.6501032631144156
dnn,probe_recall,20,0.016388240065465815,0.016484726210788933,0.005564747366611061,0.6408271375464685,0.6592730276745147,0.009,0.017364954617940208,0.655658818669971,0.6501032631144156
dnn,probe_recall,30,0.013102690137541962,0.013139532221035085,0.0032401506013718675,0.6447473495800634,0.6557655238882005,0.0,0.013130193629272667,0.6500757262839048,0.6501032631144156
dnn,probe_recall,40,0.01121731851928969,0.01121731851928969,0.0,0.6501032631144156,0.6501032631144156,0.0,0.01121731851928969,0.6501032631144156,0.6501032631144156
dnn,r2l_recall,3,0.028203782024969194,0.023452280503089527,0.0072482603168502755,0.0791575889615105,0.10252360203340592,0.027,0.02317892778393882,0.10118615347373512,0.09186637618010163
dnn,r2l_recall,5,0.014750417974508098,0.012797547533075956,0.00536504645372738,0.08220406681190992,0.09985475671750177,0.024,0.008558000039703972,0.09999999999999995,0.09186637618010163
dnn,r2l_recall,10,0.009116098564824707,0.009303690169978574,0.003592520829657395,0.08547567175018153,0.09731299927378355,0.026,0.0076274546996121075,0.09818445896877266,0.09186637618010163
dnn,r2l_recall,20,0.006122935897073397,0.0062548948722299545,0.002062450879486994,0.08834241103848943,0.09524328249818442,0.018,0.0041799590642867,0.09402687000726215,0.09186637618010163
dnn,r2l_recall,30,0.004918403001196949,0.004965755306851696,0.001218731950608336,0.09000242072137495,0.09406923263132408,0.002,0.004703620415539803,0.09216896635197284,0.09186637618010163
dnn,r2l_recall,40,0.004237200318154032,0.004237200318154032,0.0,0.09186637618010163,0.09186637618010163,0.0,0.004237200318154032,0.09186637618010163,0.09186637618010163
dnn,u2r_recall,3,0.06706892460199965,0.056007986813441026,0.01860042228129178,0.051583333333333335,0.11166666666666665,0.044,0.06453979094624193,0.08,0.0865
dnn,u2r_recall,5,0.037247006108592044,0.032259155700746986,0.013505984881808052,0.062,0.10504999999999996,0.046,0.026558261221871732,0.087,0.0865
dnn,u2r_recall,10,0.022118481895402668,0.023906185216123144,0.008835877459566793,0.071975,0.101,0.055,0.023713718776452383,0.08099999999999999,0.0865
