schema_version,dataset,partition_id,split_seed,architecture,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,4,880004,lightgbm,8,0.9960965223562811,3.42,0.9968365253077975,0.996070055531824,11696,0.9998766041461007,0.9990136851189743,8104,0.9981282171268133,0.9967289719626168,2137,0.9367311072056239,0.9655797101449275,569,0.7368421052631579,0.7777777777777778,38
rev1.0,nsl_kdd,4,880004,lightgbm,9,0.9142565649396736,3.27,0.9294630642954856,0.9264530424407704,11696,0.9433613030602171,0.9171065259117083,8104,0.8820776789892373,0.9439158738107161,2137,0.36731107205623903,0.511002444987775,569,0.02631578947368421,0.014705882352941176,38
rev1.0,nsl_kdd,4,880004,lightgbm,10,0.9962295954577715,3.58,0.997093023255814,0.9960710625213529,11696,0.9997532082922014,0.9990135635018496,8104,0.9976602714085167,0.9971936389148737,2137,0.9384885764499121,0.969147005444646,569,0.7631578947368421,0.7837837837837838,38
rev1.0,nsl_kdd,4,880004,lightgbm,11,0.9960965223562811,3.43,0.9970075239398085,0.9958155422715628,11696,0.9998766041461007,0.9990136851189743,8104,0.9981282171268133,0.9981282171268133,2137,0.9367311072056239,0.9673321234119783,569,0.6842105263157895,0.7428571428571429,38
rev1.0,nsl_kdd,4,880004,lightgbm,12,0.9849627395315826,3.22,0.9883720930232558,0.9890485968514716,11696,0.9876604146100691,0.9914529914529915,8104,0.9859616284510997,0.9647435897435898,2137,0.8980667838312829,0.9092526690391459,569,0.6052631578947368,0.6216216216216216,38
rev1.0,nsl_kdd,4,880004,lightgbm,13,0.9824343506032647,3.44,0.9829856361149111,0.9905229602825881,11696,0.9922260612043435,0.9833679833679834,8104,0.9733270940570894,0.9629629629629629,2137,0.8945518453427065,0.9187725631768953,569,0.5526315789473685,0.45652173913043476,38
rev1.0,nsl_kdd,4,880004,lightgbm,14,0.9798172462739532,3.34,0.983156634746922,0.9863612969634585,11696,0.9890177690029615,0.9840392879066913,8104,0.9597566682264858,0.9570695286980868,2137,0.8822495606326889,0.9244935543278084,569,0.5789473684210527,0.4,38
rev1.0,nsl_kdd,4,880004,lightgbm,15,0.9960078069552875,3.5,0.9970075239398085,0.9956454918032787,11696,0.9998766041461007,0.9991368680641184,8104,0.9967243799719232,0.9967243799719232,2137,0.9384885764499121,0.969147005444646,569,0.6842105263157895,0.7647058823529411,38
rev1.0,nsl_kdd,4,880004,lightgbm,16,0.9504968062455642,3.62,0.9715287277701778,0.9815150729895482,11696,0.9833415597235933,0.9266279069767441,8104,0.7473093121197941,0.9279488669378269,2137,0.8418277680140598,0.8091216216216216,569,0.5263157894736842,0.37037037037037035,38
rev1.0,nsl_kdd,4,880004,lightgbm,17,0.9961408800567778,3.49,0.997093023255814,0.9959009393680615,11696,0.9997532082922014,0.9990135635018496,8104,0.99719232569022,0.99719232569022,2137,0.9402460456942003,0.9709618874773139,569,0.7105263157894737,0.75,38
rev1.0,nsl_kdd,4,880004,lightgbm,18,0.9962295954577715,3.55,0.9971785225718194,0.9959863364645603,11696,0.9998766041461007,0.9990136851189743,8104,0.99719232569022,0.9976591760299626,2137,0.9384885764499121,0.967391304347826,569,0.7368421052631579,0.8,38
rev1.0,nsl_kdd,4,880004,lightgbm,19,0.98624911284599,3.4,0.9879445964432284,0.9887053991614615,11696,0.9950641658440277,0.994327990135635,8104,0.9728591483387927,0.9683278993945039,2137,0.8980667838312829,0.9290909090909091,569,0.6578947368421053,0.5,38
rev1.0,nsl_kdd,4,880004,lightgbm,20,0.9958303761533002,3.49,0.9968365253077975,0.9957297805107183,11696,0.9997532082922014,0.998890395758846,8104,0.99719232569022,0.9962599345488546,2137,0.9349736379613357,0.9690346083788707,569,0.6842105263157895,0.7222222222222222,38
rev1.0,nsl_kdd,4,880004,lightgbm,21,0.9960965223562811,3.6,0.9970075239398085,0.9958155422715628,11696,0.9998766041461007,0.9990136851189743,8104,0.9981282171268133,0.9962634283045306,2137,0.9384885764499121,0.9709090909090909,569,0.6578947368421053,0.78125,38
rev1.0,nsl_kdd,4,880004,lightgbm,22,0.9449520936834634,3.3,0.9651162790697675,0.9716794353103211,11696,0.9400296150049359,0.9395658608781451,8104,0.8895648104819841,0.9223677826297914,2137,0.8312829525483304,0.8631386861313869,569,0.6052631578947368,0.10952380952380952,38
