dataset,architecture,cell,n_seeds,mean,std,cv_pct,observed_var,sampling_noise_var,genuine_var,snr,degenerate,table_entry
cse_cic_ids2018_draw2,xgboost,dos,40,0.8977342786683107,0.0004874040783243428,0.054292688817380655,2.375627355672021e-07,5.6586540399253805e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,xgboost,web_attacks,40,1.0,0.0,0.0,0.0,0.0,0.0,,True,Degen.
cse_cic_ids2018_draw2,xgboost,infiltration,40,0.0418341708542713,0.0050748091499763755,12.130775025168768,2.575368790868394e-05,0.00010044130302159521,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,xgboost,botnet,40,1.0,0.0,0.0,0.0,0.0,0.0,,True,Degen.
cse_cic_ids2018_draw2,xgboost,ddos,40,1.0,0.0,0.0,0.0,0.0,0.0,,True,Degen.
cse_cic_ids2018_draw2,random_forest,aggregate_accuracy,40,0.9830864521613041,8.89756250541507e-05,0.009050640954164187,7.91666185377681e-09,4.162317574838353e-07,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,random_forest,normal,40,0.9973531981561268,0.0001064771514214113,0.010675972325377078,1.1337383774818151e-08,7.96930147105393e-08,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,random_forest,bruteforce,40,0.9472987288135594,0.003903270815514152,0.4120422309024724,1.5235523059244513e-05,5.29270134540769e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,random_forest,dos,40,0.9020036991368681,0.001825435099975509,0.20237556694304878,3.3322133042225965e-06,5.448354402848989e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,random_forest,web_attacks,40,1.0,0.0,0.0,0.0,0.0,0.0,,True,Degen.
cse_cic_ids2018_draw2,random_forest,infiltration,40,0.06325376884422104,0.0032129935820809884,5.079529079119105,1.032332775849362e-05,0.0001497262054175942,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,random_forest,botnet,40,0.9969675599435825,0.0005100427155709294,0.0511594093994184,2.60143571706968e-07,4.259765524534886e-06,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,random_forest,ddos,40,0.998404085541015,0.0,0.0,0.0,5.090345915654188e-07,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,shallow_mlp,aggregate_accuracy,40,0.9834108352708817,0.0005865338938013035,0.05964281384389485,3.4402200857771873e-07,4.069894312429738e-07,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,shallow_mlp,normal,40,0.9993718176614141,0.00013327174553370348,0.013335551711430766,1.7761358157600212e-08,1.89586322596937e-08,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,shallow_mlp,bruteforce,40,0.9282309322033899,0.0647117519094735,6.97151427133158,0.004187610835193247,6.665219766855376e-05,0.004120958637524693,61.827798357336754,False,0.004121 (61.83)
cse_cic_ids2018_draw2,shallow_mlp,dos,40,0.8984895191122071,0.02502402298444928,2.785121301044823,0.0006262017263262457,5.577128468001811e-05,0.0005704304416462276,10.228031233618024,False,0.000570 (10.23)
cse_cic_ids2018_draw2,shallow_mlp,web_attacks,40,0.0,0.0,,0.0,0.0,0.0,,True,Degen.
cse_cic_ids2018_draw2,shallow_mlp,infiltration,40,0.003329145728643193,0.003660447809859748,109.95156440182565,1.3398878168707026e-05,8.257253424119838e-06,5.141624744587188e-06,0.6226797798851919,False,0.000005 (0.62)
cse_cic_ids2018_draw2,shallow_mlp,botnet,40,0.9978843441466856,0.0007142026566175352,0.07157168671969362,5.10085434719545e-07,2.9750148955153143e-06,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,shallow_mlp,ddos,40,0.9967682732205553,0.0007723809997668033,0.07748852170738166,5.965724088007666e-07,1.0289343260436533e-06,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,logistic_regression,aggregate_accuracy,40,0.9472486812170304,0.0,0.0,0.0,1.2453447570826382e-06,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,logistic_regression,normal,40,0.9880087975656051,1.124366563280595e-16,1.1380127039870165e-14,1.2642001686234162e-32,3.561679536481289e-07,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,logistic_regression,bruteforce,40,0.9036016949152541,1.124366563280595e-16,1.2443165717900139e-14,1.2642001686234162e-32,9.260810429510848e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,logistic_regression,dos,40,0.9081381011097409,1.124366563280595e-16,1.2381008592268333e-14,1.2642001686234162e-32,5.131595934799046e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,logistic_regression,web_attacks,40,0.0,0.0,,0.0,0.0,0.0,,True,Degen.
cse_cic_ids2018_draw2,logistic_regression,infiltration,40,0.0050251256281407,0.0,0.0,0.0,1.247345238093855e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,logistic_regression,botnet,40,0.4894217207334274,0.0,0.0,0.0,0.00035250685036675297,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,logistic_regression,ddos,40,0.7727417810405363,0.0,0.0,0.0,5.607544072284023e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,dnn,aggregate_accuracy,40,0.9834227105677641,0.0001481100726177554,0.015060672386978568,2.1936593610836783e-08,4.0619574730729757e-07,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,dnn,normal,40,0.9994780211503118,0.00018789184894542715,0.01879899757367151,3.530334690013121e-08,1.5696923283863363e-08,1.960642361626785e-08,1.2490615684172646,False,0.000000 (1.25)
cse_cic_ids2018_draw2,dnn,bruteforce,40,0.9546080508474576,0.010965718270143102,1.1487142037413403,0.00012024697718015023,4.616102964986675e-05,7.408594753028348e-05,1.6049457321950646,False,0.000074 (1.60)
cse_cic_ids2018_draw2,dnn,dos,40,0.8840320591861899,0.006901836623223808,0.7807224355163552,4.7635348773673415e-05,6.310088572058881e-05,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,dnn,web_attacks,40,0.0,0.0,,0.0,0.0,0.0,,True,Degen.
cse_cic_ids2018_draw2,dnn,infiltration,40,0.0015075376884422028,0.002775799548410562,184.12803671123496,7.705063132956279e-06,3.7419879180502654e-06,3.963075214906014e-06,1.0590828462564743,False,0.000004 (1.06)
cse_cic_ids2018_draw2,dnn,botnet,40,0.9972496473906911,0.000634797206537981,0.06365479378197136,4.029674934284241e-07,3.875787485394879e-06,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,dnn,ddos,40,0.9957069901053304,0.0019807415426269016,0.1989281547995731,3.923337058687998e-06,1.3656736872610607e-06,2.557663371426937e-06,1.8728217401306766,False,0.000003 (1.87)
