schema_version,dataset,config,library,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,8,0.7658800567778566,6.73,0.9715786221810319,0.6646238377007607,9711,0.8132207026012336,0.9636161423578011,7458,0.6237092110698058,0.8487914558740866,2421,0.08641975308641975,0.9875518672199171,2754,0.09,0.5294117647058824,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,9,0.752306600425834,6.64,0.9710637421480794,0.6503448275862069,9711,0.7713864306784661,0.9612364243943191,7458,0.6162742668318877,0.8550143266475645,2421,0.09840232389251997,0.9890510948905109,2754,0.07,0.35,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,10,0.7637065294535131,6.76,0.9713726701678509,0.6614079371757117,9711,0.802628050415661,0.9633086578693273,7458,0.6137959520859149,0.8540229885057471,2421,0.10493827160493827,0.9796610169491525,2754,0.115,0.696969696969697,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,11,0.757319020581973,6.72,0.9716815981876222,0.6550048590864918,9711,0.7940466613032985,0.9626137841352406,7458,0.6034696406443618,0.8484320557491289,2421,0.0878721859114016,0.983739837398374,2754,0.06,0.6666666666666666,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,12,0.6554293825408091,5.54,0.9355370198743693,0.6430492638731596,9711,0.7123893805309734,0.6671270718232044,7458,0.15159025196199918,0.8594847775175644,2421,0.0039941902687000725,0.44,2754,0.0,,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,13,0.7008073101490419,5.44,0.963649469673566,0.6783617252627764,9711,0.7247251273799946,0.8703703703703703,7458,0.4246179264766625,0.7060439560439561,2421,0.002904865649963689,0.010884353741496598,2754,0.0,0.0,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,14,0.743834279630944,6.73,0.9704458861085367,0.6425308515715552,9711,0.7581120943952803,0.9599320882852292,7458,0.6166873192895498,0.8430265386787126,2421,0.06535947712418301,0.967741935483871,2754,0.09,0.6,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,15,0.7577625975869411,6.68,0.9711667181546699,0.6559782986714892,9711,0.7825154196835613,0.961766644693474,7458,0.6315572077653862,0.8499166203446359,2421,0.09513435003631082,0.9849624060150376,2754,0.125,0.7352941176470589,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,16,0.7389105748757985,6.54,0.9602512614560808,0.6643157369808363,9711,0.7696433360150174,0.9096671949286846,7458,0.5613382899628253,0.7579475738984941,2421,0.0784313725490196,0.5684210526315789,2754,0.09,0.75,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,17,0.7275106458481192,5.27,0.9760065904644218,0.6344042838018742,9711,0.7262000536336819,0.9533532828727337,7458,0.5415117719950434,0.7675644028103045,2421,0.07116920842411038,0.9245283018867925,2754,0.0,0.0,200
